,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red:Marker1,diabolo_red:Marker1,diabolo_red:Marker1,diabolo_red:Marker2,diabolo_red:Marker2,diabolo_red:Marker2,diabolo_red:Marker3,diabolo_red:Marker3,diabolo_red:Marker3,tracker:Unlabeled 1031,tracker:Unlabeled 1031,tracker:Unlabeled 1031,tracker:tracking_marker_0,tracker:tracking_marker_0,tracker:tracking_marker_0
,,"803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","562CCB4BC75A11EAC8808BD7B5C0B781","562CCB4BC75A11EAC8808BD7B5C0B781","562CCB4BC75A11EAC8808BD7B5C0B781","562CCB4CC75A11EAC8808BD7B5C0B781","562CCB4CC75A11EAC8808BD7B5C0B781","562CCB4CC75A11EAC8808BD7B5C0B781","C6B60","C6B60","C6B60","39B8B0B1C75A11EAC8808BD7B5C0B781","39B8B0B1C75A11EAC8808BD7B5C0B781","39B8B0B1C75A11EAC8808BD7B5C0B781","D86B6AD5C75C11EAC8808BD7B5C0B781","D86B6AD5C75C11EAC8808BD7B5C0B781","D86B6AD5C75C11EAC8808BD7B5C0B781"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
62,0.516667,0.956457,0.039012,-0.010327,-0.289072,-0.005982,0.007358,0.047282,-0.002551,-0.032883,0.028979,-0.006494,0.014635,0.014586,-0.008901,0.040331,0.098277,,,,,,
63,0.525000,0.956523,0.039028,-0.010337,-0.288849,-0.005982,0.007379,0.047283,-0.002550,-0.032869,0.028997,-0.006494,0.014639,0.014584,-0.008903,0.040376,0.098261,,,,,,
64,0.533333,0.956603,0.039041,-0.010322,-0.288585,-0.005983,0.007405,0.047280,-0.002549,-0.032856,0.029015,-0.006494,0.014646,0.014578,-0.008908,0.040432,0.098242,,,,,,
65,0.541667,0.956684,0.039003,-0.010332,-0.288320,-0.005984,0.007434,0.047280,-0.002553,-0.032837,0.029036,-0.006494,0.014656,0.014575,-0.008905,0.040490,0.098223,,,,,,
66,0.550000,0.956786,0.038981,-0.010321,-0.287985,-0.005987,0.007466,0.047277,-0.002557,-0.032821,0.029060,-0.006496,0.014667,0.014568,-0.008909,0.040560,0.098198,,,,,,
67,0.558333,0.956893,0.038962,-0.010344,-0.287630,-0.005985,0.007502,0.047276,-0.002556,-0.032797,0.029089,-0.006494,0.014677,0.014563,-0.008905,0.040634,0.098172,,,,,,
68,0.566667,0.956999,0.038945,-0.010337,-0.287278,-0.005985,0.007536,0.047276,-0.002557,-0.032776,0.029118,-0.006493,0.014687,0.014557,-0.008905,0.040706,0.098148,,,,,,
69,0.575000,0.957111,0.038939,-0.010393,-0.286905,-0.005989,0.007574,0.047269,-0.002562,-0.032754,0.029140,-0.006500,0.014700,0.014547,-0.008906,0.040785,0.098113,,,,,,
70,0.583333,0.957225,0.038854,-0.010366,-0.286537,-0.005990,0.007611,0.047263,-0.002569,-0.032734,0.029163,-0.006498,0.014712,0.014541,-0.008902,0.040863,0.098081,,,,,,
71,0.591667,0.957338,0.038865,-0.010474,-0.286155,-0.005988,0.007646,0.047259,-0.002567,-0.032715,0.029193,-0.006503,0.014723,0.014530,-0.008895,0.040938,0.098050,,,,,,
72,0.600000,0.957449,0.038851,-0.010458,-0.285785,-0.005991,0.007682,0.047256,-0.002571,-0.032692,0.029219,-0.006504,0.014733,0.014523,-0.008900,0.041015,0.098021,,,,,,
73,0.608333,0.957543,0.038788,-0.010496,-0.285477,-0.005988,0.007712,0.047255,-0.002573,-0.032676,0.029243,-0.006503,0.014743,0.014521,-0.008889,0.041078,0.097998,,,,,,
74,0.616667,0.957612,0.038636,-0.010495,-0.285265,-0.005984,0.007733,0.047254,-0.002582,-0.032666,0.029258,-0.006498,0.014750,0.014518,-0.008871,0.041122,0.097981,,,,,,
75,0.625000,0.957609,0.038261,-0.010413,-0.285328,-0.005974,0.007734,0.047258,-0.002604,-0.032663,0.029255,-0.006484,0.014751,0.014522,-0.008831,0.041118,0.097994,,,,,,
76,0.633333,0.957528,0.037732,-0.010387,-0.285671,-0.005954,0.007710,0.047272,-0.002633,-0.032670,0.029243,-0.006466,0.014744,0.014532,-0.008762,0.041058,0.098039,,,,,,
77,0.641667,0.957438,0.037242,-0.010298,-0.286042,-0.005943,0.007681,0.047281,-0.002665,-0.032686,0.029224,-0.006453,0.014739,0.014538,-0.008711,0.040990,0.098075,,,,,,
78,0.650000,0.957402,0.036889,-0.010185,-0.286212,-0.005937,0.007670,0.047285,-0.002688,-0.032693,0.029217,-0.006442,0.014741,0.014543,-0.008682,0.040963,0.098090,,,,,,
