Format Version,1.22,Take Name,Take 2020-07-16 stick_left_downward_calib,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,18 Jan 1970 09:19:35 +0900,Total Frames in Take,3068,Total Exported Frames,2372,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left
,,"554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
209,1.741667,-0.640576,-0.457380,0.456592,-0.414716,-0.001615,0.006906,0.104355
210,1.750000,-0.642213,-0.457275,0.455044,-0.414002,-0.001462,0.006974,0.104460
211,1.758333,-0.641889,-0.457686,0.454931,-0.414174,-0.001374,0.007020,0.104469
212,1.766667,-0.641541,-0.457755,0.455406,-0.414114,-0.001324,0.007031,0.104462
213,1.775000,-0.641006,-0.458253,0.455401,-0.414398,-0.001236,0.007092,0.104468
214,1.783333,-0.640420,-0.458701,0.455540,-0.414656,-0.001150,0.007144,0.104468
215,1.791667,-0.639935,-0.459039,0.455738,-0.414812,-0.001069,0.007186,0.104467
216,1.800000,-0.639410,-0.459559,0.455669,-0.415122,-0.000973,0.007255,0.104472
217,1.808333,-0.638925,-0.459646,0.456305,-0.415075,-0.000911,0.007279,0.104460
218,1.816667,-0.638584,-0.459827,0.456584,-0.415091,-0.000841,0.007309,0.104459
219,1.825000,-0.636229,-0.460707,0.457981,-0.416192,-0.000823,0.007334,0.104365
220,1.833333,-0.638064,-0.460653,0.454465,-0.417295,-0.000716,0.007396,0.104546
221,1.841667,-0.635476,-0.461312,0.458162,-0.416472,-0.000665,0.007396,0.104371
222,1.850000,-0.634958,-0.461660,0.458545,-0.416455,-0.000578,0.007425,0.104359
223,1.858333,-0.634716,-0.461765,0.458869,-0.416351,-0.000508,0.007442,0.104356
224,1.866667,-0.637011,-0.461521,0.454977,-0.417386,-0.000395,0.007507,0.104564
225,1.875000,-0.636483,-0.461968,0.455114,-0.417548,-0.000285,0.007568,0.104565
226,1.883333,-0.638100,-0.461640,0.454006,-0.416649,-0.000121,0.007623,0.104664
227,1.891667,-0.633353,-0.462890,0.459410,-0.416581,-0.000095,0.007629,0.104377
228,1.900000,-0.634568,-0.462639,0.458860,-0.415616,0.000070,0.007685,0.104446
229,1.908333,-0.632499,-0.463255,0.460360,-0.416423,0.000097,0.007714,0.104359
230,1.916667,-0.632120,-0.463416,0.460711,-0.416431,0.000178,0.007756,0.104352
231,1.925000,-0.631808,-0.463423,0.461278,-0.416270,0.000250,0.007776,0.104343
232,1.933333,-0.631569,-0.463571,0.461468,-0.416257,0.000319,0.007807,0.104344
233,1.941667,-0.631344,-0.463618,0.461785,-0.416195,0.000371,0.007824,0.104341
234,1.950000,-0.631032,-0.463980,0.461652,-0.416413,0.000450,0.007880,0.104347
235,1.958333,-0.630784,-0.463964,0.462104,-0.416303,0.000495,0.007897,0.104341
236,1.966667,-0.630393,-0.464290,0.462102,-0.416534,0.000575,0.007949,0.104343
237,1.975000,-0.630130,-0.464450,0.462226,-0.416616,0.000624,0.007985,0.104343
238,1.983333,-0.633294,-0.463464,0.458116,-0.417455,0.000648,0.008014,0.104577
239,1.991667,-0.633023,-0.463697,0.458126,-0.417597,0.000705,0.008046,0.104579
240,2.000000,-0.632829,-0.463646,0.458620,-0.417406,0.000729,0.008049,0.104565
241,2.008333,-0.629652,-0.464802,0.462302,-0.416862,0.000790,0.008089,0.104359
242,2.016667,-0.629431,-0.464801,0.462732,-0.416720,0.000808,0.008096,0.104340
243,2.025000,-0.708834,-0.428761,0.368573,-0.421750,-0.001076,0.006745,0.109164
244,2.033333,-0.637004,-0.461537,0.455263,-0.417068,0.000626,0.007961,0.104751
245,2.041667,-0.629863,-0.464241,0.463086,-0.416298,0.000779,0.008070,0.104338
246,2.050000,-0.630040,-0.464044,0.463162,-0.416166,0.000747,0.008046,0.104335
247,2.058333,-0.630188,-0.463995,0.463010,-0.416166,0.000717,0.008032,0.104337
248,2.066667,-0.630231,-0.464163,0.462601,-0.416368,0.000696,0.008026,0.104344
249,2.075000,-0.630386,-0.464124,0.462434,-0.416362,0.000650,0.007997,0.104344
250,2.083333,-0.630672,-0.463923,0.462380,-0.416214,0.000588,0.007950,0.104343
251,2.091667,-0.630961,-0.463695,0.462379,-0.416030,0.000515,0.007893,0.104337
252,2.100000,-0.631456,-0.463474,0.462092,-0.415843,0.000432,0.007828,0.104339
253,2.108333,-0.632012,-0.463135,0.461916,-0.415573,0.000335,0.007746,0.104336
254,2.116667,-0.632716,-0.462769,0.461590,-0.415271,0.000236,0.007652,0.104338
255,2.125000,-0.633582,-0.462177,0.461449,-0.414766,0.000109,0.007538,0.104337
256,2.133333,-0.634318,-0.461689,0.461295,-0.414357,-0.000008,0.007430,0.104335
257,2.141667,-0.636824,-0.460881,0.459675,-0.413210,-0.000043,0.007354,0.104429
258,2.150000,-0.637683,-0.460626,0.458937,-0.412990,-0.000126,0.007285,0.104446
259,2.158333,-0.638457,-0.460114,0.458670,-0.412662,-0.000239,0.007205,0.104449
260,2.166667,-0.639206,-0.459589,0.458435,-0.412350,-0.000354,0.007130,0.104452
261,2.175000,-0.637831,-0.459769,0.459454,-0.413142,-0.000528,0.007061,0.104360
262,2.183333,-0.638065,-0.459575,0.459302,-0.413165,-0.000630,0.007008,0.104353
